[2021-07-20 15:24:07,591] [INFO] [werkzeug] [_internal:225] -  * Restarting with stat
[2021-07-20 15:24:09,125] [WARNING] [werkzeug] [_internal:225] -  * Debugger is active!
[2021-07-20 15:24:09,140] [INFO] [werkzeug] [_internal:225] -  * Debugger PIN: 136-547-778
[2021-07-20 15:24:09,215] [INFO] [werkzeug] [_internal:225] -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-07-20 15:24:49,071] [INFO] [werkzeug] [_internal:225] -  * Restarting with stat
[2021-07-20 15:24:50,575] [WARNING] [werkzeug] [_internal:225] -  * Debugger is active!
[2021-07-20 15:24:50,586] [INFO] [werkzeug] [_internal:225] -  * Debugger PIN: 136-547-778
[2021-07-20 15:24:50,665] [INFO] [werkzeug] [_internal:225] -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-07-20 15:24:52,533] [DEBUG] [flaskblog] [routes:21] - index without searching returned 0 posts
[2021-07-20 15:24:52,606] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:24:52] "GET / HTTP/1.1" 200 -
[2021-07-20 15:24:52,667] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:24:52] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-07-20 15:24:57,228] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:24:57] "GET /register HTTP/1.1" 200 -
[2021-07-20 15:24:57,258] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:24:57] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-07-20 15:25:13,464] [DEBUG] [flaskblog] [routes:41] - New user created successfully.
[2021-07-20 15:25:13,467] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:13] "[32mPOST /register HTTP/1.1[0m" 302 -
[2021-07-20 15:25:13,492] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:13] "[32mGET /login HTTP/1.1[0m" 302 -
[2021-07-20 15:25:13,504] [DEBUG] [flaskblog] [routes:21] - index without searching returned 0 posts
[2021-07-20 15:25:13,508] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:13] "GET /home HTTP/1.1" 200 -
[2021-07-20 15:25:13,553] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:13] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-07-20 15:25:17,609] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:17] "GET /account HTTP/1.1" 200 -
[2021-07-20 15:25:17,640] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:17] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-07-20 15:25:17,659] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:17] "[36mGET /static/profile_pics/default.jpg HTTP/1.1[0m" 304 -
[2021-07-20 15:25:18,275] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:18] "[35m[1mGET /post/new HTTP/1.1[0m" 500 -
[2021-07-20 15:25:18,329] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:18] "GET /post/new?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2021-07-20 15:25:18,361] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:18] "GET /post/new?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2021-07-20 15:25:18,464] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:18] "GET /post/new?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2021-07-20 15:25:18,504] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:18] "GET /post/new?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
[2021-07-20 15:25:18,545] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [20/Jul/2021 15:25:18] "GET /post/new?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2021-07-20 15:26:52,724] [INFO] [werkzeug] [_internal:225] -  * Detected change in 'C:\\Users\\iluminate\\Desktop\\New folder\\blogtown_onprogress\\flaskblog\\forms.py', reloading
[2021-07-20 15:26:52,824] [INFO] [werkzeug] [_internal:225] -  * Restarting with stat
[2021-07-20 15:26:54,353] [WARNING] [werkzeug] [_internal:225] -  * Debugger is active!
[2021-07-20 15:26:54,366] [INFO] [werkzeug] [_internal:225] -  * Debugger PIN: 136-547-778
[2021-07-20 15:26:54,461] [INFO] [werkzeug] [_internal:225] -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-07-20 15:26:58,755] [INFO] [werkzeug] [_internal:225] -  * Detected change in 'C:\\Users\\iluminate\\Desktop\\New folder\\blogtown_onprogress\\flaskblog\\forms.py', reloading
[2021-07-20 15:26:58,857] [INFO] [werkzeug] [_internal:225] -  * Restarting with stat
[2021-07-20 15:27:00,519] [WARNING] [werkzeug] [_internal:225] -  * Debugger is active!
[2021-07-20 15:27:00,532] [INFO] [werkzeug] [_internal:225] -  * Debugger PIN: 136-547-778
